chash,sampleid
7303e28075e043282f59,GUT_GENOME003003
66af05f4dd0b7080c928,GUT_GENOME003003
5720b7edc768f42fbdb1,GUT_GENOME003003
2d3dffb711d11f83b74c,GUT_GENOME003003
e90f5bb5b74ac68da12c,GUT_GENOME003003
437390c95b29b5c8a217,GUT_GENOME003003
a79ca512392a2b099ee5,GUT_GENOME003003
af2ad79a7e26d835539f,GUT_GENOME003003
26a563b3f5c3e8e99d0f,GUT_GENOME003003
6f36ef7522636176a00e,GUT_GENOME003003
df1af23eb0db04f8f3c4,GUT_GENOME003003
5600c044925ad354e753,GUT_GENOME003003
1344a9ec72a1ae9f9c90,GUT_GENOME003003
059ac385318c4a1bdda0,GUT_GENOME003003
8bfad84e63049de2edf9,GUT_GENOME003003
c2f01866f652a6f8e420,GUT_GENOME003003
12622bf42ff192d2809a,GUT_GENOME003003
ad8f1b7ae4df2de4df26,GUT_GENOME003003
748effff2000a821951a,GUT_GENOME003003
7583166fe9838ceaf7f7,GUT_GENOME003003
095a793b3244722d3b3b,GUT_GENOME003003
98d22615d1fbbdc1fba2,GUT_GENOME003003
e322e7b8dda14a57835c,GUT_GENOME003003
b516c8323d6a97d62bad,GUT_GENOME003003
2fd5b69a8e3a814f521e,GUT_GENOME003003
cc780d2837f6cb683cf7,GUT_GENOME003003
bbecf49a0e9590a922ef,GUT_GENOME003003
2bc86da267b3d613d0a4,GUT_GENOME003003
ac6afbb580bbae20e728,GUT_GENOME003003
724b0d94b816ae40b7c1,GUT_GENOME003003
e7411cf9454761c1c973,GUT_GENOME003003
7186382594c55f5e3fd9,GUT_GENOME003003
01e12a165be9f50c14cf,GUT_GENOME003003
78ecf5506647f7b449f5,GUT_GENOME003003
8845e8df6b908dd37b8e,GUT_GENOME003003
df5fbe3c56ac2f55f490,GUT_GENOME003003
19496440b541a44cc3b9,GUT_GENOME003003
e680399b54bfde45376f,GUT_GENOME003003
dff031e15b0f47b2442a,GUT_GENOME003003
c1f8592a8edb3e9abff6,GUT_GENOME003003
f1a619627cbe2e72e261,GUT_GENOME003003
9f5794b59ad5499aeaa0,GUT_GENOME003003
d145ed246ca811bc5414,GUT_GENOME003003
c21b554d24ae32763bd1,GUT_GENOME003003
e15baf9bd124254274f9,GUT_GENOME003003
ca83bfb9e0e6a1e226f9,GUT_GENOME003003
78d485d381e16c15ce69,GUT_GENOME003003
a722c1c26372bcc636c0,GUT_GENOME003003
36b607b714e98bb90a05,GUT_GENOME003003
f6718bc06cba2d71cda7,GUT_GENOME003003
c1ea79dbe0ef6ce8ebbd,GUT_GENOME003003
7818662b32dda973eca2,GUT_GENOME003003
ddac10cd498e51fa3c87,GUT_GENOME003003
c5e47f841c951c82c54e,GUT_GENOME003003
4e9004d32c5e095e13f2,GUT_GENOME003003
181bada103d5080b0f18,GUT_GENOME003003
82e59fb3b3416369a299,GUT_GENOME003003
b149386df0bb6a5defa6,GUT_GENOME003003
4bfca181ba9897f153eb,GUT_GENOME003003
3370f6c8e0d1ca0bbd14,GUT_GENOME003003
87ef1bc74128c5baa4f6,GUT_GENOME003003
a682c7bbeecc91985523,GUT_GENOME003003
49c4459bbebc918e4d2e,GUT_GENOME003003
7a376fd4d168a250951b,GUT_GENOME003003
efd10ac40c500a86ffff,GUT_GENOME003003
c6f0adbdc13ff48ff6c1,GUT_GENOME003003
0900f1ef139aba0472f8,GUT_GENOME003003
435285ea15ff0b1d0f27,GUT_GENOME003003
5bd83d61afa3ea7671e1,GUT_GENOME003003
52bbcea96afb5076e006,GUT_GENOME003003
a5219b8413841c01f6e6,GUT_GENOME003003
117942e11805a84eac74,GUT_GENOME003003
823ba9867192b8954101,GUT_GENOME003003
ebafe7b96e07eb9f9587,GUT_GENOME003003
12a283c59eff835fa8ad,GUT_GENOME003003
52f0d32dbc574264d996,GUT_GENOME003003
8755a00faeaaafa215ec,GUT_GENOME003003
d6388812ebcc6ca4c6bf,GUT_GENOME003003
bfd91cfc754c038ff5ba,GUT_GENOME003003
8d5ffb742ba838a5d039,GUT_GENOME003003
5719bd185ff624a2c528,GUT_GENOME003003
30d5de08a9ddaeab2793,GUT_GENOME003003
f2568faef9b32cb7b006,GUT_GENOME003003
66c0eb4a4da8e57d272c,GUT_GENOME003003
f635c4fd9332c3ea29a5,GUT_GENOME003003
978b73562be70fa279d7,GUT_GENOME003003
78feb75a45a48c59ef5d,GUT_GENOME003003
0a4b4b5e0ecbf52deb80,GUT_GENOME003003
a7887207ca28decbfa6b,GUT_GENOME003003
dca5200cd78a61a7e73e,GUT_GENOME003003
053ebf965c0ae9b17c48,GUT_GENOME003003
08ae7215b80908a2cb06,GUT_GENOME003003
2bea5425d3a8562a22ff,GUT_GENOME003003
abff961b2576ce232dad,GUT_GENOME003003
b9fcf0194f2277e51960,GUT_GENOME003003
a30c1f74ce7fa2b5fa6d,GUT_GENOME003003
5473c4c904b4713a0ac6,GUT_GENOME003003
801d7e9553bf74ae51e6,GUT_GENOME003003
f671f58c0931b8887161,GUT_GENOME003003
79397ba2364996998352,GUT_GENOME003003
347d54b89aa0c0175cd9,GUT_GENOME003003
da4b9694a56d29cdaa56,GUT_GENOME003003
6cbb97644ba6354b7b58,GUT_GENOME003003
7a9edadc2e8af4a99ca3,GUT_GENOME003003
d20490979ffb3fb5abfa,GUT_GENOME003003
