recid,hash,chash,start,end
GUT_GENOME138446_28,9f4d8fdcbc1b87630bc2,74981d6982b1451a8aee,1836,3131
GUT_GENOME138446_28,44d0e23f4c2f5155cd0c,74981d6982b1451a8aee,3140,3904
GUT_GENOME138446_28,5df3278e9859e9274b1a,74981d6982b1451a8aee,3914,6577
GUT_GENOME138446_28,ee6bd0afac0c54599ff7,74981d6982b1451a8aee,6688,9201
GUT_GENOME138446_28,240699b3358ffc54678d,74981d6982b1451a8aee,9223,10566
GUT_GENOME138446_28,c3878ec48cdd31945281,74981d6982b1451a8aee,10639,12120
GUT_GENOME138446_28,5b4bd1acf944d4d2c84d,74981d6982b1451a8aee,12137,15196
GUT_GENOME138446_28,e4809acf1143d13ee2b8,74981d6982b1451a8aee,15193,15378
GUT_GENOME138446_29,0ea5613fef11e693e26f,2e2330ab25bac90a9a1b,1,1683
GUT_GENOME138446_29,3632781531aa68b976cf,2e2330ab25bac90a9a1b,1814,2200
GUT_GENOME138446_29,ff585c18542fea109eaf,2e2330ab25bac90a9a1b,2256,2861
GUT_GENOME138446_29,3942f023550860bf483b,2e2330ab25bac90a9a1b,2945,3241
GUT_GENOME138446_29,6f1c20d8e18bfe46c641,2e2330ab25bac90a9a1b,3238,5049
GUT_GENOME138446_29,7a4f275fb8aa086ea683,2e2330ab25bac90a9a1b,5052,7067
GUT_GENOME138446_29,7a2496375ba63064cd50,2e2330ab25bac90a9a1b,7070,7558
GUT_GENOME138446_29,2beabd7d35781b93ec9f,2e2330ab25bac90a9a1b,7617,9380
GUT_GENOME138446_29,c309a37bfd590e27ff89,2e2330ab25bac90a9a1b,9457,11280
GUT_GENOME138446_29,06244ddd3df6c8fe846d,2e2330ab25bac90a9a1b,11349,13178
GUT_GENOME138446_29,ee93518759317b53b597,2e2330ab25bac90a9a1b,13349,14098
GUT_GENOME138446_29,effa644a03186704f375,2e2330ab25bac90a9a1b,14182,14445
